label,logK,k0,H^{+},Fe^{2+},HPO_4^{2-},H_2PO_4^{-},H_3PO_4,Na^{+}
H_3PO_4,-2.25564524127071,100000000,1,0,0,1,-1,0
H_2PO_4^{-},-7.13977694939641,100000000,1,0,1,-1,0,0
