V (mL),pH
1e-08,2.6318663164263643
0.9009250273843297,2.73154443444226
1.7596421084130904,2.831222552458155
2.587362906517204,2.9309006704740503
3.38860317836617,3.0305787884899456
4.16221243266923,3.130256906505841
4.90290088604159,3.229935024521736
5.603097180903339,3.3296131425376316
6.254847281794534,3.429291260553527
6.851433686525933,3.528969378569422
7.38847348327663,3.6286474965853173
7.864405670986746,3.7283256146012125
8.280433603256256,3.828003732617108
8.640090021445443,3.9276818506330033
8.948620199481903,4.027359968648899
9.212348655500763,4.127038086664794
9.438137418881585,4.22671620468069
9.632986039779546,4.326394322696585
9.803780213530509,4.42607244071248
9.95717041631777,4.525750558728375
10.09955097358128,4.625428676744271
10.237108014805834,4.7251067947601655
10.37590682619112,4.824784912776061
10.521991702004339,4.924463030791957
10.681472544101323,5.024141148807852
10.860571474569793,5.123819266823747
11.065600055832624,5.223497384839643
11.30283503523437,5.323175502855537
11.578260998307075,5.422853620871433
11.897156610839563,5.522531738887328
12.263522748313832,5.622209856903223
12.679389780801248,5.721887974919119
13.144095975843136,5.821566092935014
13.653687176116774,5.921244210950909
14.200624806655041,6.0209223289668055
14.77397390540248,6.120600446982699
15.360155319369504,6.220278564998595
15.944198409922695,6.319956683014491
16.511273704105786,6.419634801030385
17.048188805958002,6.519312919046281
17.544543187053122,6.618991037062177
17.99335198432785,6.7186691550780715
18.391109021414195,6.818347273093967
18.737398788498222,6.918025391109862
19.034235926643856,7.017703509125758
19.285315347836544,7.117381627141653
19.4953102189061,7.217059745157548
19.669296519054804,7.316737863173444
19.812330963105378,7.416415981189339
19.92917425349539,7.516094099205234
20.024133892289306,7.61577221722113
20.100995674146088,7.715450335237025
20.163015246758686,7.81512845325292
20.212946621572563,7.914806571268816
20.253090641219835,8.01448468928471
20.285351843725493,8.114162807300605
20.31129643392566,8.213840925316502
20.332207165819163,8.313519043332397
20.34913304145387,8.413197161348291
20.362933080290972,8.512875279364188
20.374314227670244,8.612553397380083
20.38386392873797,8.712231515395978
20.39207812596673,8.811909633411872
20.399385536142688,8.911587751427769
20.406169088534142,9.011265869443664
20.41278540074879,9.110943987459558
20.419583159106764,9.210622105475455
20.426921273701033,9.31030022349135
20.435187706903868,9.409978341507244
20.444819937542697,9.509656459523141
20.45632813035549,9.609334577539034
20.470322241661325,9.70901269555493
20.487544519820876,9.808690813570827
20.50890916921202,9.90836893158672
20.535551360857138,10.008047049602617
20.568888321143127,10.107725167618511
20.610695953058695,10.207403285634406
20.663205398779397,10.307081403650303
20.729225218181604,10.406759521666197
20.81229654909088,10.506437639682092
20.91689089726822,10.606115757697989
21.048663321259795,10.705793875713884
21.21477809512364,10.805471993729778
21.424330009232296,10.905150111745675
21.688893174502045,11.00482822976157
22.023241905859354,11.104506347777464
22.44630720524813,11.20418446579336
22.982461228558964,11.303862583809256
23.663267144482685,11.40354070182515
24.52990381884663,11.503218819841045
25.636593177251722,11.602896937856942
27.05555873994887,11.702575055872837
28.884395366204092,11.802253173888731
31.257370003552627,11.901931291904628
34.36338936223593,12.00160940992052
38.47580268371457,12.101287527936417
44.004374082222654,12.200965645952314
51.59155616101421,12.300643763968207
62.30464484610837,12.400321881984103
78.05768362328295,12.5
