V (mL),pH,0,1
1e-08,2.6318663164263643,9.999992705745947e-12,1.0204666972546406e-12
0.9009250273843297,2.73154443444226,-1.4347746948861761e-10,5.322302928240097e-10
1.7596421084130904,2.831222552458155,-1.0843140101080007e-10,3.423991489642786e-10
2.587362906517204,2.9309006704740503,-8.326517860618443e-11,2.2637469156150392e-10
3.38860317836617,3.0305787884899456,-6.23864731576218e-11,1.4782390068968088e-10
4.16221243266923,3.130256906505841,-4.522890222069531e-11,9.460704615549265e-11
4.90290088604159,3.229935024521736,-3.207314015069018e-11,6.000447708154333e-11
5.603097180903339,3.3296131425376316,-2.2590355801266337e-11,3.829546055267308e-11
6.254847281794534,3.429291260553527,-1.6054915209784415e-11,2.4973384471493887e-11
6.851433686525933,3.528969378569422,-1.1668814352272516e-11,1.685348562097122e-11
7.38847348327663,3.6286474965853173,-8.75426380692046e-12,1.1868856591989996e-11
7.864405670986746,3.7283256146012125,-6.810677889712569e-12,8.752925467758743e-12
8.280433603256256,3.828003732617108,-5.496428832907352e-12,6.753830134043071e-12
8.640090021445443,3.9276818506330033,-4.588504923241921e-12,5.4307391916808e-12
8.948620199481903,4.027359968648899,-3.943722085009149e-12,4.523992291893819e-12
9.212348655500763,4.127038086664794,-3.470373294289786e-12,3.878468726736806e-12
9.438137418881585,4.22671620468069,-3.10866263286691e-12,3.3989130954203972e-12
9.632986039779546,4.326394322696585,-2.8193072876270264e-12,3.0256214200719e-12
9.803780213530509,4.42607244071248,-2.5753843502229756e-12,2.719555483587932e-12
9.95717041631777,4.525750558728375,-2.35801135561875e-12,2.4544498378187285e-12
10.09955097358128,4.625428676744271,-2.1543045125582694e-12,2.212837552084679e-12
10.237108014805834,4.7251067947601655,-1.954696821071522e-12,1.9823396396612125e-12
10.37590682619112,4.824784912776061,-1.753050829500502e-12,1.7552070907811412e-12
10.521991702004339,4.924463030791957,-1.5460532160060936e-12,1.5273546316585396e-12
10.681472544101323,5.024141148807852,-1.3334246901086644e-12,1.2983225605722737e-12
10.860571474569793,5.123819266823747,-1.1175296799059709e-12,1.0707320446945445e-12
11.065600055832624,5.223497384839643,-9.039574644376103e-13,8.505158383131928e-13
11.30283503523437,5.323175502855537,-7.00458788194247e-13,6.455877499256246e-13
11.578260998307075,5.422853620871433,-5.158443117103673e-13,4.644340467763186e-13
