V (mL),pH,H_2O,H_3PO_4,H_2PO_4^{-},HPO_4^{2-}
1e-08,2.2790179071608936,-1.0559437141605857e-10,-0.14214236269158714,-5.984188274880023e-06,-2.9576401565646304e-16
1.648277267132548,2.382260150522905,-1.5833924673125748e-10,-0.16197511039121035,-9.450750457167377e-06,-5.850793945391069e-16
3.076870048183385,2.485502393884916,-2.376927922979941e-10,-0.1801786892810231,-1.4768607339994106e-05,-1.1831301156271033e-15
4.3070071900089495,2.5887446372469274,-3.5807734207565466e-10,-0.1963231743566582,-2.292479543604311e-05,-2.3505340367396572e-15
5.357833727559429,2.691986880608938,-5.423092756175064e-10,-0.21024846574082462,-3.54712301304846e-05,-4.782947929994981e-15
6.247561504115709,2.7952291239709495,-8.265958913009647e-10,-0.22199817803940414,-5.4862651367052646e-05,-9.275443145609763e-15
6.994028615539909,2.8984713673329607,-1.2685280122072438e-09,-0.23174329089726475,-8.499650661912303e-05,-1.8867345411041996e-14
7.614748456185988,3.001713610694972,-1.9598797715045667e-09,-0.23971712637634346,-0.0001320764134596031,-3.824623693508172e-14
8.126643818561185,3.104955854056983,-3.047112328055811e-09,-0.24616894251428822,-0.00020599395952017457,-7.600549493480605e-14
8.545668773486405,3.208198097418994,-4.764201390739626e-09,-0.25133479389581537,-0.0003225394388267384,-1.527197026730707e-13
8.886466032396168,3.3114403407810054,-7.485124547323923e-09,-0.25542093765140583,-0.0005069344434747604,-3.0731410559212234e-13
9.162136543457326,3.4146825841430166,-1.1807571393655562e-08,-0.2585946883592322,-0.0007994625893677221,-6.190642619896179e-13
9.3841401155871,3.5179248275050274,-1.8685876189514092e-08,-0.26097834435488815,-0.0012644054547496866,-1.2505038586121057e-12
9.562310674668781,3.6211670708670387,-2.964060602734574e-08,-0.2626425725103462,-0.0020041207015533725,-2.5226833306573275e-12
9.704954950663888,3.72440931422905,-4.708509558806756e-08,-0.2635960438731562,-0.0031809545990813264,-5.09955087928115e-12
9.819002058771158,3.8276515575910612,-7.482416351835377e-08,-0.2637681474934594,-0.005050666882522645,-1.0304802492413792e-11
9.91017688085479,3.9308938009530725,-1.1879041605640334e-07,-0.2629816155060779,-0.008011692179750248,-2.0789171719671806e-11
9.983177721636489,4.034136044315084,-1.8806780454962614e-07,-0.2609128370409295,-0.01267343461853773,-4.180057410169583e-11
10.041845858173982,4.1373782876770955,-2.961579175606664e-07,-0.2570418014843514,-0.01994034439383831,-8.356465189421079e-11
10.089320281864948,4.240620531039106,-4.621652411373232e-07,-0.25060552056685687,-0.03108959740352739,-1.654983853356244e-10
10.128174978087777,4.343862774401117,-7.109614095373423e-07,-0.2405948054965131,-0.04777868004966866,-3.2298933718689387e-10
10.160538725776695,4.447105017763128,-1.0704143562558765e-06,-0.2258751489276011,-0.07185399441664657,-6.167443647153967e-10
10.188198974205513,4.55034726112514,-1.5631318915555963e-06,-0.20553858756001475,-0.10479012734019919,-1.1418872276975743e-09
10.212692197911577,4.653589504487151,-2.1920570205629975e-06,-0.17951262653414835,-0.146718898691281,-2.0295914465047705e-09
10.23538350683697,4.756831747849162,-2.9260020176219424e-06,-0.14916728066214244,-0.19546270668117346,-3.4324321923150324e-09
10.257538385008099,4.860073991211173,-3.6987969086492527e-06,-0.11734406716313849,-0.24649237973974045,-5.495005887921624e-09
10.280389366618442,4.963316234573184,-4.430709723200078e-06,-0.08744766520210141,-0.2943814435638438,-8.331725322231913e-09
10.30520029521621,5.066558477935195,-5.0600810219124405e-06,-0.06211526690989017,-0.33493191055175353,-1.2036493502017826e-08
10.333330562958874,5.169800721297206,-5.5616778894616586e-06,-0.042453820243288566,-0.3663902517111634,-1.6722078089590573e-08
10.36630135982623,5.273042964659218,-5.943108594353282e-06,-0.028203613520591888,-0.38918349311898587,-2.2564162604057647e-08
10.405865395775612,5.376285208021228,-6.229902100903184e-06,-0.018376461516360437,-0.4048987516042397,-2.9832077774438895e-08
10.454080653998474,5.479527451383239,-6.4521110826637975e-06,-0.011826965175140498,-0.4153710928394534,-3.8908557191192325e-08
10.513387286319189,5.5827696947452505,-6.637214568317406e-06,-0.007558435151945915,-0.42219577531677643,-5.0309610228707e-08
10.586684497133742,5.686011938107262,-6.808156622203184e-06,-0.0048150872855549426,-0.4265818361942974,-6.471341613856571e-08
10.677400849298637,5.789254181469273,-6.984052990664118e-06,-0.0030663271113256932,-0.4293777948231802,-8.300428613638375e-08
10.789546539695241,5.892496424831284,-7.181870863469583e-06,-0.0019562452570107917,-0.43115269169997905,-1.0633675777532451e-07
10.927729668140008,5.995738668193296,-7.418323856726748e-06,-0.0012525740710063126,-0.4322778276568298,-1.3622698329072366e-07
11.097110653143728,6.098980911555307,-7.71180272020798e-06,-0.0008062273641818965,-0.4329915026794377,-1.746823714992392e-07
11.303260974525664,6.202223154917317,-8.084448796008661e-06,-0.0005224493745939707,-0.4334451577866451,-2.2438674650705498e-07
11.55188719229525,6.3054653982793285,-8.56462683057164e-06,-0.00034135197320567793,-0.43373449210513465,-2.889678578902122e-07
11.848383719231416,6.40870764164134,-9.190176833672222e-06,-0.00022519117418981575,-0.4339197994379235,-3.73388824226777e-07
12.197195138400751,6.511949885003351,-1.0012991113818835e-05,-0.00015020129831489132,-0.4340390156231437,-4.845284614171899e-07
12.60100803482685,6.615192128365362,-1.1105729028721338e-05,-0.00010141130304732872,-0.43411599599706324,-6.320521600018341e-07
13.059855661458187,6.718434371727374,-1.2571915875208033e-05,-6.937537038651287e-05,-0.4341657292299231,-8.297333719707317e-07
13.570296521404938,6.821676615089385,-1.4561373765927139e-05,-4.811837164291398e-05,-0.4341976034356617,-1.0974786463130777e-06
14.124892406847342,6.924918858451396,-1.7294059703791296e-05,-3.384715610108593e-05,-0.43421743886216224,-1.464457384703571e-06
14.712220377986721,7.028161101813408,-2.109719351404902e-05,-2.4142697509067134e-05,-0.43422873708841836,-1.9739742960648264e-06
15.31756967167912,7.131403345175418,-2.6463454133625006e-05,-1.7453523226738934e-05,-0.43423342491641065,-2.6911013618786647e-06
