V (mL),[H^{+}] (mol/L),[PO_4^{3-}] (mol/L),[HPO_4^{2-}] (mol/L),[H_2PO_4^{-}] (mol/L),[H_3PO_4] (mol/L),[OH^{-}] (mol/L),[Na^{+}] (mol/L)
1e-08,0.005259955776932398,2.116859558409222e-18,7.24788145827313e-08,0.005259810817402065,0.004984222920774808,1.901177724284214e-12,9.999475103646477e-12
1.648277267132548,0.00414705551829307,3.734699241953046e-18,1.0081668795380095e-07,0.005768318401463231,0.004309573732392664,2.4113761462108314e-12,0.0016214645187671963
3.076870048183385,0.003269622445729935,6.514237335991702e-18,1.3864305717561608e-07,0.006254213199784069,0.0036839652861327776,3.0584909786400252e-12,0.0029848680341826345
4.3070071900089495,0.0025778364650447666,1.1237384752357013e-17,1.8856346771703617e-07,0.0067064064137739654,0.003114515327535547,3.879264991951398e-12,0.004128947070025118
5.357833727559429,0.0020324184063493515,1.918481290875716e-17,2.5380935796911196e-07,0.007117012019960069,0.002605889884046669,4.920301214840011e-12,0.005085101228647531
6.247561504115709,0.0016023997776739886,3.244436328080114e-17,3.384130284407343e-07,0.00748160714430184,0.002159787469372367,6.240709024772754e-12,0.005879884191293409
6.994028615539909,0.0012633643936052258,5.4408393149336715e-17,4.474365683944653e-07,0.007798966548932031,0.0017750513923285424,7.915460341008101e-12,0.006536497029528465
7.614748456185988,0.0009960620397403896,9.057557076002506e-17,5.872653964151358e-07,0.008070449982259077,0.0014482027933596158,1.0039646482693297e-11,0.007075562477087186
8.126643818561185,0.0007853154577046032,1.4984299593935448e-16,7.659801874021511e-07,0.008299245885100861,0.0011741619946810324,1.2733877393745978e-11,0.007515462394670364
8.545668773486405,0.0006191585900317313,2.4658768828619046e-16,9.938257259788554e-07,0.00848963632602717,0.000946970021085152,1.6151129799089804e-11,0.00787246539807624
8.886466032396168,0.0004881571549993373,4.040185053955664e-16,1.2838014437717882e-06,0.008646382985097406,0.0007603952037626912,2.0485433126218338e-11,0.008160793448176903
9.162136543457326,0.00038487297408703393,6.595722945777553e-16,1.6524060007301585e-06,0.008774272715602452,0.0006083783992510118,2.598288637321292e-11,0.00839270457437413
9.3841401155871,0.0003034416369105556,1.0735988140859372e-15,2.1205774479286845e-06,0.008877818466245985,0.0004853183071833961,3.2955631454003857e-11,0.008578618012187988
9.562310674668781,0.00023923952371396047,1.7433357516839047e-15,2.7148816903753964e-06,0.008961088926058514,0.0003862237333100533,4.1799576418569767e-11,0.008727279202623874
9.704954950663888,0.00018862127916794018,2.825391567898313e-15,3.4690157635847486e-06,0.009027633272031772,0.00030676784503379364,5.30168748612942e-11,0.008845950072585247
9.819002058771158,0.00014871283140275676,4.571908474668966e-15,4.425709592734413e-06,0.009080469513934928,0.00024327752474096725,6.724443788405031e-11,0.008940608164205426
9.91017688085479,0.00011724820402757459,7.388717521739569e-15,5.639131280987572e-06,0.009122111024049489,0.00019268450604246088,8.529009750522135e-11,0.00901614116317664
9.983177721636489,9.24408554259893e-05,1.1928838863768976e-14,7.177927552466321e-06,0.00915461270409997,0.00015245763295993668,1.0817847485011959e-10,0.009076527807318161
10.041845858173982,7.28822400544315e-05,1.9242770008893377e-14,9.129063844115592e-06,0.00917962428124841,0.00012052908500703097,1.3720915748960819e-10,0.009125000301514736
10.089320281864948,5.7461832118208605e-05,3.101997804672665e-14,1.160266886686973e-05,0.009198442889275836,9.522237877749844e-05,1.7403048919937047e-10,0.009164186564419374
10.128174978087777,4.530407062015678e-05,4.997679858602917e-14,1.473813740185857e-05,0.009212060384495782,7.518639170317817e-05,2.2073316187562704e-10,0.009196232805005856
10.160538725776695,3.571864556169914e-05,8.047921402443563e-14,1.8711803641107377e-05,0.009221203002995386,5.93373035019721e-05,2.799689236970114e-10,0.009222908240410265
10.188198974205513,2.8161302578286384e-05,1.2954215967709642e-13,2.374656599295479e-05,0.009226362272535139,4.680890516125004e-05,3.55101143706841e-10,0.009245694452960527
10.212692197911577,2.2202940521243926e-05,2.0843184887266436e-13,3.0123922336277482e-05,0.009227816806129085,3.691090562688467e-05,4.5039578177745266e-10,0.00926586215687858
10.23538350683697,1.7505247366291848e-05,3.3523267239594986e-13,3.819895957128308e-05,0.00922564492830214,2.909445518487785e-05,5.712636071101827e-10,0.00928453816798098
10.257538385008099,1.380149107105297e-05,5.389546296909618e-13,4.841892673585631e-05,0.009219728170431287,2.2923945474158536e-05,7.245674182841012e-10,0.009302765254714792
10.280389366618442,1.0881374698602976e-05,8.660963576863985e-13,6.134609466725042e-05,0.00920974562989779,1.805413318805777e-05,9.19011708613233e-10,0.009321557361919305
10.30520029521621,8.579095890569125e-06,1.3911126888982808e-12,7.768564518041011e-05,0.009195159106700572,1.4211699361073314e-05,1.1656369017645437e-09,0.009341952466848337
10.333330562958874,6.763932714221249e-06,2.2330711679863277e-12,9.831930179725085e-05,0.00917518889091561,1.1180456439231312e-05,1.4784462200220548e-09,0.009365065042918097
10.36630135982623,5.332821353915114e-06,3.5820795732127428e-12,0.0001243452521448702,0.00914878016404598,8.789526273710408e-06,1.875200778380153e-09,0.009392139729036577
10.405865395775612,4.204504212908524e-06,5.741062129920218e-12,0.00015712452639877613,0.009114560311511349,6.903920095110623e-06,2.37842804940519e-09,0.009424607252011203
10.454080653998474,3.3149161584772105e-06,9.191492474233117e-12,0.00019833324948269926,0.00907078817885905,5.417049639597711e-06,3.016700958861573e-09,0.00946414280239083
10.513387286319189,2.613546944249996e-06,1.4696217385326765e-11,0.00025001888583490637,0.00901529765275885,4.24478420548589e-06,3.826260238341972e-09,0.009512725744500742
10.586684497133742,2.0605732704070294e-06,2.3459119082079782e-11,0.0003146564977890579,0.008945440179742373,3.3207411125160958e-06,4.8530721510565755e-09,0.009572697522419972
10.677400849298637,1.6245976419353642e-06,3.7370751056414264e-11,0.0003951978630023583,0.008858034255469861,2.592557606926494e-06,6.155438427148588e-09,0.009646811648592206
10.789546539695241,1.280865638745569e-06,5.93818867069251e-11,0.0004951018054890222,0.008749334783528406,2.018942038748041e-06,7.807306599010378e-09,0.009738265511850459
