V (mL),[H^{+}] (mol/L),[HPO_4^{2-}] (mol/L),[H_2PO_4^{-}] (mol/L),[H_3PO_4] (mol/L),[OH^{-}] (mol/L),[Na^{+}] (mol/L)
1e-08,0.005259955776932403,7.24788145827313e-08,0.005259810817402065,0.004984222920774791,1.9011777242842073e-12,9.999475103646472e-12
1.6482772671317432,0.0041470555182930744,1.0081668795057309e-07,0.005768318401278608,0.004309573732254699,2.4113761462108314e-12,0.001621464518766416
3.0768700480591398,0.003269622445729938,1.3864305697259528e-07,0.006254213190625754,0.003683965280738188,3.0584909786400143e-12,0.002984868034065701
4.307007189867786,0.002577836465044771,1.8856346744577808e-07,0.006706406404126532,0.003114515323055181,3.879264991951398e-12,0.004128947069895377
5.357833748418671,0.0020324184063493533,2.5380942281212576e-07,0.007117013838208665,0.002605890549797353,4.920301214840011e-12,0.00508510124743819
6.247561521406933,0.00160239977767399,3.384130925645033e-07,0.007481608561944843,0.0021597878786169954,6.240709024772754e-12,0.005879884206610098
6.994028631275216,0.001263364393605227,4.4743663661276477e-07,0.0077989677379994415,0.0017750516629612858,7.915460341008101e-12,0.006536497043273103
7.614748471229854,0.0009960620397403905,5.872654728751281e-07,0.008070451033004725,0.0014482029819107803,1.0039646482693297e-11,0.007075562490076703
8.126643833326288,0.0007853154577046032,7.659802764694731e-07,0.008299246850127963,0.00117416213121129,1.2733877393745978e-11,0.007515462407298757
8.54566878818381,0.0006191585900317313,9.9382583268065e-07,0.008489637237514404,0.0009469701227562981,1.6151129799089804e-11,0.007872465410549869
8.886466047136373,0.0004881571549993373,1.2838015741440234e-06,0.008646383863152453,0.0007603952809821331,2.0485433126218338e-11,0.00816079346060867
9.162136558294845,0.00038487297408703393,1.6524061621715053e-06,0.008774273572855727,0.0006083784586900529,2.598288637321292e-11,0.008392704586824845
9.384140130542692,0.0003034416369105556,2.120577649608181e-06,0.008877819310579257,0.00048531835334004997,3.2955631454003857e-11,0.008578618024686895
9.562310689742269,0.00023923952371396047,2.714881943726809e-06,0.008961089762302919,0.00038622376935226055,4.1799576418569767e-11,0.008727279215180368
9.704954965842314,0.00018862127916794018,3.46901608291719e-06,0.009027634103050226,0.0003067678732726158,5.30168748612942e-11,0.008845950085196296
9.819002074034081,0.00014871283140275703,4.425709995990869e-06,0.00908047034131822,0.00024327754690763595,6.724443788405031e-11,0.008940608176860357
9.910176896177505,0.0001172482040275748,5.63913179068598e-06,0.00912211184856045,0.0001926845234584378,8.529009750522105e-11,0.009016141175860078
9.983177736991589,9.244085542598946e-05,7.177928196862461e-06,0.009154613525952435,0.000152457646646772,1.0817847485011959e-10,0.009076527820011537
10.041845873531498,7.288224005443164e-05,9.129064658630655e-06,0.009179625100274666,0.00012052909576090086,1.372091574896077e-10,0.009125000314196574
10.089320297191238,5.7461832118208605e-05,1.1602669895828296e-05,0.00919844370502062,9.52223872220968e-05,1.7403048919937047e-10,0.009164186577064515
10.128174993343062,4.530407062015678e-05,1.473813870057903e-05,0.009212061196259995,7.518639832858195e-05,2.2073316187562704e-10,0.009196232817583534
10.160538740910825,3.571864556169914e-05,1.871180527837777e-05,0.009221203809844576,5.933730869394687e-05,2.799689236970114e-10,0.009222908252880722
10.188198989151296,2.8161302578286384e-05,2.3746568053900172e-05,0.009226363073283771,4.680890922375748e-05,3.55101143706841e-10,0.009245694465269606
10.21269221257441,2.2202940521243967e-05,3.0123924925579004e-05,0.009227817599306059,3.6910908799561624e-05,4.503957817774511e-10,0.009265862168949259
10.23538352107861,1.7505247366291878e-05,3.819896281662529e-05,0.009225645712103036,2.909445765671155e-05,5.712636071101827e-10,0.009284538179700102
10.257538398621376,1.380149107105297e-05,4.84189307913506e-05,0.009219728942661501,2.2923947394232855e-05,7.245674182841012e-10,0.009302765265912344
10.280389379287408,1.0881374698602976e-05,6.134609971638988e-05,0.009209746387913265,1.80541346740177e-05,9.19011708613233e-10,0.009321557372335797
10.305200306453502,8.579095890569125e-06,7.768565143785236e-05,0.00919515984735455,1.4211700505800781e-05,1.1656369017645437e-09,0.009341952476083543
10.333330572006943,6.763932714221249e-06,9.831930950845114e-05,0.00917518961052732,1.1180457316116475e-05,1.4784462200220548e-09,0.009365065050350332
10.36630136550179,5.332821353915114e-06,0.00012434526158236058,0.00914878085841532,8.789526940813253e-06,1.875200778380153e-09,0.00939213973369579
10.405865396225112,4.204504212908524e-06,0.0001571245378540902,0.009114560976017129,6.903920598447554e-06,2.37842804940519e-09,0.009424607252379938
10.45408064631497,3.3149161584772105e-06,0.00019833326325413485,0.009070788808696887,5.4170500157351075e-06,3.016700958861573e-09,0.009464142796093254
10.51338726594503,2.613546944249996e-06,0.0002500189022148897,0.009015298243395965,4.244784483582875e-06,3.826260238341972e-09,0.009512725727819544
10.586684456935446,2.0605732704070294e-06,0.00031465651706319165,0.008945440727691047,3.3207413159265095e-06,4.8530721510565755e-09,0.009572697489551519
10.677400778146461,1.6245976419353642e-06,0.0003951978854894526,0.00885803475949951,2.5925577544452257e-06,6.155438427148588e-09,0.009646811590509412
10.789546420306596,1.280865638745569e-06,0.0004951018316837293,0.008749335246435796,2.018942145565662e-06,7.807306599010378e-09,0.009738265414588575
10.927729473851361,1.0098603753755587e-06,0.0006183282896839067,0.008615041977943308,1.5673427199966493e-06,9.902468695343121e-09,0.009850698228691846
11.097110343164175,7.961943445937353e-07,0.0007692719192588108,0.008450373746266405,1.2121050125730104e-06,1.2559886693149727e-08,0.009988133648771555
11.303260487111851,6.277357244829971e-07,0.0009526049983965793,0.008250241292775025,9.330152382001669e-07,1.593044710345267e-08,0.010154839251568576
11.551886435203409,4.949195412751411e-07,0.0011729968206495107,0.008009554966018762,7.141480079239497e-07,2.0205528211836257e-08,0.010355073725052288
11.848382556800697,3.9020457619762376e-07,0.001434682791260539,0.007723696443540819,5.429536992970479e-07,2.562786641630581e-08,0.010592697337119579
12.197193374768059,3.07645179847367e-07,0.0017408769957192225,0.007389161365863553,4.0953451288569243e-07,3.250533864624601e-08,0.010870640149629643
12.601005393114814,2.4255368198292067e-07,0.0020930622118467174,0.00700433578879992,3.0606951190372477e-07,4.122844341949869e-08,0.011190258850892247
13.059851759286238,1.912342285767665e-07,0.0024902500796987093,0.006570305150311318,2.2635829283472238e-07,5.2292473100910454e-08,0.01155066635107535
13.570290843573082,1.5077293356415048e-07,0.002928368085346256,0.006091524557601645,1.6546061170052388e-07,6.632563628914936e-08,0.011948176274376363
14.124884276185231,1.18872430237636e-07,0.003399970667552056,0.005576134763819754,1.1941520926762218e-07,8.412472710310422e-08,0.012376041349046882
14.712208924736835,9.372142822033315e-08,0.003894453047904055,0.005035728647026523,8.502496451043967e-08,1.0670036664736154e-07,0.012824647721131866
15.317553800169797,7.389186954535791e-08,0.004398845962643591,0.004484482757054746,5.969724025390955e-08,1.3533438543851484e-07,0.013282236124631924
15.924276765847173,5.825784442883284e-08,0.004899104231723449,0.003937749094609023,4.1328314435199307e-08,1.7165260493013869e-07,0.013736070952698042
16.51558406408933,4.593166282537655e-08,0.005381635191849149,0.0034103847068415556,2.8220245107739166e-08,2.1771715062532017e-07,0.014173826875958266
17.07634403917503,3.621345194948444e-08,0.005834725122345143,0.0029151927492571945,1.9018770644257117e-08,2.7614353825681875e-07,0.014584882923998009
17.594533702827544,2.8551417941984063e-08,0.006249559666788086,0.0024618072681841193,1.2662719078832333e-08,3.502491811140154e-07,0.014961248299507993
18.06204985271124,2.2510515364151994e-08,0.0066206774464012946,0.0020561974553938594,8.338645222270179e-09,4.4424175066862775e-07,0.015297974079426076
18.47482542317003,1.7747745593209244e-08,0.006945871711578515,0.0017007751501470474,5.437951598079316e-09,5.634580854962351e-07,0.01559306428364218
18.832379011176197,1.399268157773446e-08,0.007225687067165458,0.0013949448881690797,3.516440248765998e-09,7.146672135908799e-07,0.015847019697031495
19.13702109835282,1.1032113160940606e-08,0.007462709700217487,0.0011358793524712304,2.2575436404855494e-09,9.064546934878709e-07,0.01606219160810611
19.392977048462352,8.697941142994584e-09,0.0076608309492415694,0.0009193254708969047,1.4405588296004087e-09,1.149710096840345e-06,0.016242127133019355
19.60552324312545,6.857632714904785e-09,0.007824600133400805,0.0007403095013808622,9.146033457825816e-10,1.4582453114015703e-06,0.016390960573341894
19.780345502871118,5.406696329557084e-09,0.00795872903544435,0.0005936803110343937,5.782689388469715e-10,1.8495787712647681e-06,0.01651298229161674
19.923052776906243,4.262748737842243e-09,0.008067750932957104,0.0004744813712265814,3.6437967308646917e-10,2.3459301424568296e-06,0.016612324789783434
20.038875313485526,3.36083731994325e-09,0.008155816091405846,0.0003781741719679316,2.2897317016588282e-10,2.9754819415040246e-06,0.016692778426906935
20.132503802721946,2.6497521167153868e-09,0.00822659158465792,0.0003007475749390694,1.4356633810954133e-10,3.7739797208729046e-06,0.016757702053734783
20.208030132462415,2.089118160636299e-09,0.008283233452591193,0.0002387480622293646,8.98562108856966e-11,4.786761678802366e-06,0.016809999631541526
20.268954772489035,1.6471030107187879e-09,0.008328404276135232,0.00018926029334807854,5.615979466153507e-11,6.071332933487823e-06,0.0168521385280277
20.31823356772697,1.2986093266704413e-09,0.008364315949056818,0.0001498600579918362,3.505981783677983e-11,7.700630627275429e-06,0.016886191286752228
20.35834471467613,1.0238498578055092e-09,0.008392783718092765,0.00011855483084322033,2.1867582354602145e-11,9.76716525141477e-06,0.016913888407887927
20.391363463261115,8.072239354818596e-10,0.008415282624094616,9.372159834320759e-05,1.362946970771217e-11,1.2388273333166856e-05,0.01693667431243102
20.419037222206086,6.364316770150897e-10,0.008433001170196401,7.404758476727733e-05,8.49000461713804e-12,1.5712779729514975e-05,0.016955762068378854
20.442857367542683,5.017756061289926e-10,0.008446889546784827,5.847676095503885e-05,5.286133104122623e-12,1.992944780829615e-05,0.01697218480052997
20.46412647538681,3.95610036393816e-10,0.008457701331748108,4.6163273221077075e-05,3.2901002951861074e-12,2.5277697312686883e-05,0.016986843238412236
20.484021261831433,3.119069539926633e-10,0.008466028522578134,3.643189270175779e-05,2.0471611586519402e-12,3.2061198462600314e-05,0.017000549824412278
20.503652508621098,2.459137509143894e-10,0.008472330258802353,2.8745021653796764e-05,1.273475797399922e-12,4.066511415746445e-05,0.01701407040750153
20.52412391229817,1.9388337488046775e-10,0.008476955816775676,2.2675529635274405e-05,7.920329543193656e-13,5.157796928173524e-05,0.01702816493858474
20.546592286753338,1.5286157408955372e-10,0.008480162512836764,1.788460908371533e-05,4.925190358117199e-13,6.541938883846226e-05,0.01704362887073393
20.57233200008049,1.2051915667107635e-10,0.008482129106286615,1.4103857520758e-05,3.0622400862736234e-13,8.297527986456506e-05,0.017061337229439043
20.602807032826856,9.501974064586091e-11,0.008482965194590722,1.1120862604706972e-05,1.9036958236651527e-13,0.0001052424547346892,0.01708229361150031
