Px,Py
-1.3790148974817618,38.023702744956964
21.10052826435265,-27.625757129724438
11.196664219470131,-2.017074201508034
13.658035568075947,23.41953011200951
23.991664699322328,12.454389715559936
14.095569758083855,-11.332014770488994
24.472932028397587,-18.59204804473276
33.65426574152729,-12.939385034829678
21.13042074064595,-11.987739921779582
24.305618752868835,-13.471806159652816
34.438278901863214,-4.223025268562151
28.948690414880115,20.936357751836884
31.41111529310776,28.54198612911215
39.73051877413484,-6.532090784475727
