,AIC
3,449.8989407281458
4,163.38161435911246
5,137.12212057817203
6,13.859050170253422
7,15.192292960505572
8,16.82358439030613
9,18.73877295132874
10,20.768794659862
11,22.736404481788036
12,24.73228570691107
13,26.73160546030252
14,28.730196719690056
15,30.73169508918228
16,32.70582688584344
17,34.71948976260752
18,36.701174887987435
19,38.723514117274334
20,40.70234670315141
