Px,Py
-2.989875992771709,30.235982751008915
4.867349952620437,45.692808132064
10.385846973627517,-33.528670229764934
29.109292809850984,-25.056389740571177
3.913184106921818,26.724541970515563
8.305691356265605,32.00316809642962
32.618267065522055,-3.8728961061475577
23.899606302517704,-25.16432928948024
11.953607156161533,-11.784174463541627
23.936970983967857,7.027100588432873
29.867714186870625,0.8044191142777548
21.61431154764333,-20.5819251541662
25.86734590589993,-30.212590132586975
24.578149898942005,-17.846539858027118
37.17381941213922,16.653449534237247
25.832675864173996,35.23267293511198
36.19701734506855,9.999976198952202
39.40334470500111,-5.110169941814447
