Px,Py
-3.7118443959296052,42.70635780187513
11.721973158887357,6.514780088057379
14.136232166776955,-23.83951362240427
20.370025341269592,-1.6455317544972439
4.586556221187852,20.62264389917009
22.451855320988972,16.480288657881083
25.604978791435304,-4.738411135614656
12.285803181344935,-15.426451759412519
23.71722291394133,-7.778965432581194
32.50680907415548,-5.103446164764246
21.548587580331745,-14.708743780755313
25.311676580917794,-21.366016421050812
25.794928028059243,-16.523792275641522
35.93719287705049,10.57323672264681
26.777552446454862,33.19275849195142
35.11429733781641,13.815299927907184
39.37348049990817,-5.024239333237404
