V (mL),pH,0,1
1e-08,2.279017907160893,9.999470446868306e-12,1.0244236015033437e-12
1.6482772671317432,2.3822601505229044,-6.395058094188499e-15,1.1282641487753153e-14
3.0768700480591398,2.4855023938849157,-2.550910871423895e-15,4.1147640850169864e-15
4.307007189867786,2.5887446372469265,-5.412337245047638e-16,8.014422459012849e-16
5.357833748418671,2.6919868806089378,-1.8081870471406414e-09,2.4979171352884633e-09
6.247561521406933,2.795229123970949,-1.4100865926292006e-09,1.8385136971860172e-09
6.994028631275216,2.8984713673329603,-1.1823097978078123e-09,1.4697263406304728e-09
7.614748471229854,3.0017136106949716,-1.0441730284235784e-09,1.2482192536522607e-09
8.126643833326288,3.104955854056983,-9.584114188040949e-10,1.1097181420310909e-09
8.54566878818381,3.208198097418994,-9.047492928460077e-10,1.0207925130178985e-09
8.886466047136373,3.3114403407810054,-8.711781660647455e-10,9.62544717542091e-10
9.162136558294845,3.4146825841430166,-8.502510761426718e-10,9.23713555298078e-10
9.384140130542692,3.5179248275050274,-8.372366550046806e-10,8.973453681504484e-10
9.562310689742269,3.6211670708670387,-8.290956202833266e-10,8.790385884471785e-10
9.704954965842314,3.72440931422905,-8.238686989570088e-10,8.659552033773998e-10
9.819002074034081,3.827651557591061,-8.202915239424735e-10,8.562355373331609e-10
9.910176896177505,3.930893800953072,-8.175442666596977e-10,8.486382568895223e-10
9.983177736991589,4.034136044315083,-8.15087108918533e-10,8.42313593873989e-10
10.041845873531498,4.137378287677095,-8.125500793043638e-10,8.366564021450307e-10
10.089320297191238,4.240620531039106,-8.096600421364508e-10,8.312102898339058e-10
10.128174993343062,4.343862774401117,-8.061906246747963e-10,8.256025862962701e-10
10.160538740910825,4.447105017763128,-8.019278349008507e-10,8.194995983895614e-10
10.188198989151296,4.55034726112514,-7.966448212909372e-10,8.125738779757308e-10
10.21269221257441,4.65358950448715,-7.900824959550246e-10,8.044792436379122e-10
10.23538352107861,4.756831747849161,-7.819335005876393e-10,7.948305746213746e-10
10.257538398621376,4.860073991211173,-7.71828224596649e-10,7.8318684697265e-10
10.280389379287408,4.963316234573184,-7.593233541935973e-10,7.690378993341351e-10
10.305200306453502,5.066558477935195,-7.438930443859348e-10,7.517953516666953e-10
10.333330572006943,5.169800721297206,-7.249258884151066e-10,7.307911775722431e-10
10.36630136550179,5.273042964659218,-7.017311124540848e-10,7.052880883484658e-10
10.405865396225112,5.376285208021228,-6.735605129204458e-10,6.7450901981847e-10
10.45408064631497,5.479527451383239,-6.396543832803969e-10,6.376946522917981e-10
10.51338726594503,5.5827696947452505,-5.993221890987499e-10,5.941999097619499e-10
10.586684456935446,5.686011938107262,-5.520676554793269e-10,5.436377771561585e-10
10.677400778146461,5.789254181469273,-4.97765493753799e-10,4.860735598744004e-10
10.789546420306596,5.892496424831284,-4.3688253362206275e-10,4.222540980064471e-10
10.927729473851361,5.995738668193296,-3.7071259603727036e-10,3.53828105703613e-10
11.097110343164175,6.098980911555307,-3.015545712442558e-10,2.8347197332523333e-10
11.303260487111851,6.202223154917318,-2.327222286407915e-10,2.1480123235662063e-10
11.551886435203409,6.305465398279329,-1.6825243281948232e-10,1.5194838269561028e-10
11.848382556800697,6.408707641641341,-1.122325374997013e-10,9.877879937614242e-11
12.197193374768059,6.511949885003352,-6.783115388819816e-11,5.791006216226968e-11
12.601005393114814,6.615192128365363,-3.636254491956592e-11,2.992639122623153e-11
13.059851759286238,6.7184343717273745,-1.687791226223645e-11,1.3246514996012593e-11
13.570290843573082,6.821676615089386,-6.620516634914253e-12,4.82564162240795e-12
14.124884276185231,6.924918858451395,-2.1738496419621e-12,1.3488862804500457e-12
14.712208924736835,7.0281611018134065,-6.411954300844513e-13,2.3613229427343896e-13
15.317553800169797,7.131403345175418,-2.258974257651758e-13,-8.857498068337577e-15
15.924276765847173,7.234645588537429,-1.1838099944760927e-13,-2.776771867996075e-14
16.51558406408933,7.33788783189944,-6.938720431559631e-14,-1.5092094240998222e-14
17.07634403917503,7.4411300752614515,-3.578040641549762e-14,-6.5416422279085396e-15
17.594533702827544,7.544372318623463,-1.5470263958761166e-14,-2.6402491304367004e-15
18.06204985271124,7.647614561985474,-5.67774993687209e-15,-9.835882108788496e-16
18.47482542317003,7.750856805347485,-1.8023776915399026e-15,-3.3306690738754696e-16
18.832379011176197,7.854099048709497,-5.134781488891349e-16,-9.540979117872439e-17
19.13702109835282,7.957341292071508,-2.5673804193715455e-09,-5.653647897063685e-10
19.392977048462352,8.06058353543352,-1.2485163874975669e-09,-2.6102645739323194e-10
19.60552324312545,8.16382577879553,-5.82519265462933e-10,-1.1629381832523045e-10
19.780345502871118,8.267068022157542,-2.6238129030575763e-10,-5.0347835275910136e-11
19.923052776906243,8.370310265519553,-1.1475107322689304e-10,-2.130037812797525e-11
20.038875313485526,8.473552508881564,-4.897687116978133e-11,-8.845771337639974e-12
20.132503802721946,8.576794752243575,-2.0488881424807204e-11,-3.619122362907845e-12
20.208030132462415,8.680036995605587,-8.430867115549745e-12,-1.4630224115519397e-12
20.268954772489035,8.783279238967598,-3.4213187838361137e-12,-5.857068302583812e-13
20.31823356772697,8.88652148232961,-1.3711948243511074e-12,-2.3263335702239374e-13
20.35834471467613,8.98976372569162,-5.423786419989085e-13,-9.179115800783677e-14
20.391363463261115,9.093005969053632,-2.1065094113481564e-13,-3.60215329786584e-14
20.419037222206086,9.196248212415643,-7.906175714111896e-14,-1.4046055984984207e-14
20.442857367542683,9.299490455777653,-2.7412100367385506e-14,-5.396724733763847e-15
20.46412647538681,9.402732699139664,-7.70911112724093e-15,-1.9116652705264414e-15
20.484021261831433,9.505974942501675,-1.394717674685353e-15,-2.463307335887066e-16
20.503652508621098,9.609217185863686,-6.83481049534862e-16,2.688821387764051e-16
20.52412391229817,9.712459429225698,-2.463307335887066e-16,3.122502256758253e-17
20.546592286753338,9.815701672587709,-2.0122792321330962e-16,-4.683753385137379e-17
20.57233200008049,9.91894391594972,-3.5041414214731503e-16,-8.500145032286355e-17
20.602807032826856,10.022186159311731,-7.91033905045424e-16,-1.491862189340054e-16
20.639754688697394,10.125428402673743,-1.807581861967833e-15,-3.139849491518021e-16
20.685285852211642,10.228670646035754,-4.2847669856627135e-15,-7.511352650979575e-16
20.742007865046464,10.331912889397765,-1.041527974976475e-14,-1.904726376622534e-15
20.813177705977882,10.435155132759776,-2.5854318685958333e-14,-4.9231452248221785e-15
20.902895378422826,10.538397376121788,-6.517356099244864e-14,-1.2781442570997115e-14
21.016350481489084,10.641639619483799,-1.66120589506491e-13,-3.321301567105195e-14
21.160139234261063,10.74488186284581,-4.2648870546280193e-13,-8.634586101674557e-14
21.342675302998337,10.848124106207822,-1.1005259203944462e-12,-2.2463628179814066e-13
21.574726527252594,10.951366349569833,-2.8504837379372816e-12,-5.849504908228553e-13
21.870122454832313,11.054608592931844,-7.405680235716972e-12,-1.5252400037413238e-12
22.246696754449875,11.157850836293855,-1.9294479208786797e-11,-3.9842365517905876e-12
22.72755786265731,11.261093079655867,-5.0415734087483344e-11,-1.0432502084434248e-11
23.34282707674884,11.364335323017878,-1.321689598043907e-10,-2.740169376125312e-11
24.132056973159724,11.46757756637989,-3.478609900131602e-10,-7.226049272834878e-11
25.14766473319427,11.570819809741899,-9.200311658352778e-10,-1.9153870677024454e-10
26.45992226789829,11.67406205310391,-2.448354512185613e-09,-5.110778536487892e-10
28.164423110040417,11.777304296465921,-8.81239525796218e-16,-2.0816681711721685e-16
30.393549292330174,11.880546539827932,-6.609296443471635e-15,-1.56472057533108e-15
33.33491524194306,11.983788783189944,-5.128189539682637e-14,-1.2274903316011887e-14
37.26211738933462,12.087031026551955,-4.1513320558905775e-13,-1.0092794655580661e-13
42.58890914852472,12.190273269913966,-3.55683191233247e-12,-8.82886645736658e-13
49.97071660930125,12.293515513275977,-3.289066935474594e-11,-8.390533927371546e-12
60.51024820096609,12.396757756637989,-3.374572357661698e-10,-8.925335383963562e-11
76.21770612859841,12.5,-4.0003432164037456e-09,-1.1094507769079942e-09
