V (mL),pH,H_2O,H_3PO_4,H_2PO_4^{-},HPO_4^{2-}
1e-08,2.6318663164263643,-4.498875998764733e-10,-0.1890640059529529,-0.00011462828401403546,-3.702975519557134e-15
0.9009250273843297,2.73154443444226,-6.0656427491984e-10,-0.22528932298287174,-0.00017752862947401622,-7.208232331633972e-15
1.7596421084130904,2.831222552458155,-8.049357216956703e-10,-0.2589153827531525,-0.0002670225764132451,-1.3845320469583719e-14
2.587362906517204,2.9309006704740503,-1.0587119607514028e-09,-0.28836408503636696,-0.0003923703125787579,-2.5873901260653634e-14
3.38860317836617,3.0305787884899456,-1.3902257709394741e-09,-0.31296614265873296,-0.0005670438844345203,-4.754383773645955e-14
4.16221243266923,3.130256906505841,-1.8345452212248961e-09,-0.33278671835933415,-0.0008112077202019653,-8.696836020067951e-14
4.90290088604159,3.229935024521736,-2.4454405125789806e-09,-0.3483213229920713,-0.0011553466812215358,-1.5813666257750056e-13
5.603097180903339,3.3296131425376316,-3.304586301338495e-09,-0.36022341076985864,-0.001645682721789787,-2.882312438782798e-13
6.254847281794534,3.429291260553527,-4.535899592014797e-09,-0.36912455692480967,-0.0023523824319127526,-5.267910205667383e-13
6.851433686525933,3.528969378569422,-6.327654063403429e-09,-0.3755387158644733,-0.0033820052182519204,-9.68850460440825e-13
7.38847348327663,3.6286474965853173,-8.966029978592655e-09,-0.37981844219764055,-0.004896182456123089,-1.7932141989835735e-12
7.864405670986746,3.7283256146012125,-1.2884869111052584e-08,-0.3821330153521939,-0.00713903916346924,-3.3391648494972746e-12
8.280433603256256,3.828003732617108,-1.8736913200420343e-08,-0.3824480267141323,-0.010475954554530754,-6.2511966663063475e-12
8.640090021445443,3.9276818506330033,-2.7489872758982247e-08,-0.3804957826543242,-0.015444816186031992,-1.1744951400107525e-11
8.948620199481903,4.027359968648899,-4.054216036141182e-08,-0.3757362089761888,-0.0228155657882074,-2.2078509662189315e-11
9.212348655500763,4.127038086664794,-5.98303276550891e-08,-0.3673233934044565,-0.03364026928410551,-4.137666807634214e-11
9.438137418881585,4.22671620468069,-8.785322396748859e-08,-0.3541192907451439,-0.04924899337927779,-7.690379915199878e-11
9.632986039779546,4.326394322696585,-1.2746666645482344e-07,-0.33483300199798033,-0.07110776701754074,-1.4082734046776147e-10
9.803780213530509,4.42607244071248,-1.8125302787047745e-07,-0.308385537940968,-0.10043222578588501,-2.5206811039480586e-10
9.95717041631777,4.525750558728375,-2.5038121583656495e-07,-0.27453230712709387,-0.13752367301872073,-4.371766518174564e-10
10.09955097358128,4.625428676744271,-3.3331052528605055e-07,-0.23453721272382466,-0.18105047234396554,-7.287597855694146e-10
10.237108014805834,4.7251067947601655,-4.252917091552951e-07,-0.1913868564799582,-0.22782469921570667,-1.1611115073210757e-09
10.37590682619112,4.824784912776061,-5.195748754807203e-07,-0.14909340154086728,-0.2735571992612402,-1.7656867063602462e-09
10.521991702004339,4.924463030791957,-6.099785533016062e-07,-0.11132582394714557,-0.3143305365835917,-2.5709069571094445e-09
10.681472544101323,5.024141148807852,-6.931661051348354e-07,-0.08027361453201796,-0.3478178384400018,-3.6080834352744576e-09
10.860571474569793,5.123819266823747,-7.693264739622457e-07,-0.056404329166430164,-0.37353954989427746,-4.920918298519217e-09
11.065600055832624,5.223497384839643,-8.414588742277744e-07,-0.038964457807202285,-0.3923228358544886,-6.574941049107092e-09
11.30283503523437,5.323175502855537,-9.14285794690167e-07,-0.026668151879492622,-0.4055613059663884,-8.666050790105427e-09
11.578260998307075,5.422853620871433,-9.935467476308184e-07,-0.018196846980010173,-0.414679267134906,-1.1330058202085928e-08
11.897156610839563,5.522531738887328,-1.085874576447485e-06,-0.01243891497996153,-0.42087561619759956,-1.4756029998730838e-08
12.263522748313832,5.622209856903223,-1.1991798180111143e-06,-0.008549587269949603,-0.42506060721384,-1.9206651274000288e-08
12.679389780801248,5.721887974919119,-1.3434619201208192e-06,-0.005924631901740529,-0.42788492255654376,-2.5049389059954322e-08
13.144095975843136,5.821566092935014,-1.5320722105226478e-06,-0.0041472974009614085,-0.42979716434621185,-3.280407963430679e-08
13.653687176116774,5.921244210950909,-1.7835879876732473e-06,-0.0029362806680385367,-0.4311000404894208,-4.3215493608252224e-08
14.200624806655041,6.0209223289668055,-2.124612491527252e-06,-0.002103987726668124,-0.43199536651377374,-5.7364391777741535e-08
14.77397390540248,6.120600446982699,-2.5940214326225234e-06,-0.0015260299845148385,-0.4326169228922941,-7.68382930061725e-08
15.360155319369504,6.220278564998595,-3.249481491920402e-06,-0.0011200292880912208,-0.43305326885073775,-1.039953326273967e-07
