label,squaresum,ranking,extractflag,AIC
H_2O,12971.855143209264,1,True,9472.891920402422
H_3PO_4,37.821234908794,3,True,19.61603468014198
H_2PO_4^{-},81.37710322670148,2,True,12.972163958932386
HPO_4^{2-},34.18695041447735,4,False,14.234616019729176
