V (mL),pH,H_2O,H_3PO_4,H_2PO_4^{-},HPO_4^{2-}
1e-08,2.2790179071608936,-1.0559437141605855e-10,-0.1421423626915871,-5.984188274880023e-06,-2.9576401565646304e-16
1.648277267132548,2.382260150522905,-1.5833924673125748e-10,-0.1619751103912103,-9.450750457167376e-06,-5.850793945391069e-16
3.076870048183385,2.485502393884916,-2.376927922979941e-10,-0.1801786892810231,-1.4768607339994106e-05,-1.1831301156271033e-15
4.3070071900089495,2.5887446372469274,-3.580773420756546e-10,-0.1963231743566582,-2.292479543604311e-05,-2.350534036739657e-15
5.357833727559429,2.691986880608938,-5.423092756175064e-10,-0.2102484657408246,-3.54712301304846e-05,-4.782947929994981e-15
6.247561504115709,2.795229123970949,-8.265958913009647e-10,-0.2219981780394041,-5.4862651367052646e-05,-9.275443145609764e-15
6.994028615539909,2.8984713673329607,-1.2685280122072438e-09,-0.2317432908972647,-8.499650661912303e-05,-1.8867345411042e-14
7.614748456185988,3.001713610694972,-1.9598797715045667e-09,-0.2397171263763434,-0.0001320764134596,-3.8246236935081724e-14
8.126643818561185,3.104955854056983,-3.047112328055811e-09,-0.2461689425142882,-0.0002059939595201,-7.600549493480605e-14
8.545668773486405,3.208198097418994,-4.764201390739626e-09,-0.2513347938958153,-0.0003225394388267,-1.527197026730707e-13
8.886466032396168,3.3114403407810054,-7.485124547323923e-09,-0.2554209376514058,-0.0005069344434747,-3.073141055921224e-13
9.162136543457326,3.4146825841430166,-1.1807571393655562e-08,-0.2585946883592322,-0.0007994625893677,-6.190642619896179e-13
9.3841401155871,3.5179248275050274,-1.868587618951409e-08,-0.2609783443548881,-0.0012644054547496,-1.2505038586121057e-12
9.56231067466878,3.621167070867039,-2.964060602734574e-08,-0.2626425725103462,-0.0020041207015533,-2.5226833306573275e-12
9.704954950663888,3.72440931422905,-4.708509558806756e-08,-0.2635960438731562,-0.0031809545990813,-5.09955087928115e-12
9.819002058771158,3.827651557591061,-7.482416351835378e-08,-0.2637681474934594,-0.0050506668825226,-1.0304802492413792e-11
9.91017688085479,3.930893800953073,-1.1879041605640335e-07,-0.2629816155060779,-0.0080116921797502,-2.078917171967181e-11
9.983177721636489,4.034136044315084,-1.8806780454962614e-07,-0.2609128370409295,-0.0126734346185377,-4.180057410169583e-11
10.041845858173982,4.137378287677096,-2.961579175606664e-07,-0.2570418014843514,-0.0199403443938383,-8.356465189421079e-11
10.089320281864948,4.240620531039106,-4.621652411373232e-07,-0.2506055205668568,-0.0310895974035273,-1.6549838533562439e-10
10.128174978087776,4.343862774401117,-7.109614095373423e-07,-0.2405948054965131,-0.0477786800496686,-3.2298933718689387e-10
10.160538725776696,4.447105017763128,-1.0704143562558763e-06,-0.2258751489276011,-0.0718539944166465,-6.167443647153966e-10
10.188198974205513,4.55034726112514,-1.5631318915555963e-06,-0.2055385875600147,-0.1047901273401991,-1.1418872276975743e-09
10.212692197911576,4.653589504487151,-2.192057020562997e-06,-0.1795126265341483,-0.146718898691281,-2.02959144650477e-09
10.23538350683697,4.756831747849162,-2.9260020176219424e-06,-0.1491672806621424,-0.1954627066811734,-3.432432192315032e-09
10.2575383850081,4.860073991211173,-3.6987969086492527e-06,-0.1173440671631384,-0.2464923797397404,-5.4950058879216245e-09
10.280389366618442,4.963316234573184,-4.430709723200078e-06,-0.0874476652021014,-0.2943814435638438,-8.331725322231913e-09
10.30520029521621,5.066558477935195,-5.0600810219124405e-06,-0.0621152669098901,-0.3349319105517535,-1.2036493502017826e-08
10.333330562958874,5.169800721297206,-5.5616778894616586e-06,-0.0424538202432885,-0.3663902517111634,-1.6722078089590573e-08
10.36630135982623,5.273042964659218,-5.943108594353282e-06,-0.0282036135205918,-0.3891834931189858,-2.2564162604057647e-08
10.405865395775612,5.376285208021228,-6.229902100903184e-06,-0.0183764615163604,-0.4048987516042397,-2.9832077774438895e-08
